Date,Open,High,Low,Close,Volume,,,,,
40911.00,325.25,332.83,324.97,663.59,7380500.00,,,,,
40912.00,331.27,333.87,329.08,666.45,5749400.00,,,,,
40913.00,329.83,330.75,326.89,657.21,6590300.00,,,,,
40914.00,328.34,328.77,323.68,648.24,5405900.00,,,,,
40917.00,322.04,322.29,309.46,620.76,11688800.00,,,,,
40918.00,313.70,315.72,307.30,621.43,8824000.00,,,,,
40919.00,310.59,313.52,309.40,624.25,4817800.00,,,,,
40920.00,314.43,315.26,312.08,627.92,3764400.00,,,,,
40921.00,311.96,312.30,309.37,623.28,4631800.00,,,,,
40925.00,314.81,314.81,311.67,626.86,3832800.00,,,,,
40926.00,312.14,315.82,309.90,631.18,5544000.00,,,,,
40927.00,319.30,319.30,314.55,637.82,12657800.00,,,,,
40928.00,294.16,294.40,289.76,584.39,21231800.00,,,,,
40931.00,291.91,293.23,290.49,583.92,6851300.00,,,,,
40932.00,292.07,292.74,287.92,579.34,6134400.00,,,,,
40933.00,287.68,288.27,282.13,567.93,10012700.00,,,,,
40934.00,284.92,286.17,281.22,566.54,6476500.00,,,,,
40935.00,284.32,289.08,283.60,578.39,7262000.00,,,,,
40938.00,287.95,288.92,285.63,576.11,4678400.00,,,,,
40939.00,290.41,290.91,286.50,578.52,4300700.00,,,,,
40940.00,291.38,291.66,288.49,579.24,4658700.00,,,,,
40941.00,291.34,292.11,289.95,583.51,4847400.00,,,,,
40942.00,294.23,297.42,292.93,594.70,6360700.00,,,,,
40945.00,296.39,304.27,295.90,607.42,7386700.00,,,,,
40946.00,302.44,303.56,300.75,605.11,4199700.00,,,,,
40947.00,303.18,304.53,301.24,608.18,3686400.00,,,,,
40948.00,304.87,306.10,303.36,609.79,4546300.00,,,,,
40949.00,302.81,302.93,300.87,604.25,4667700.00,,,,,
40952.00,304.11,305.77,303.87,610.52,3646100.00,,,,,
40953.00,304.63,304.86,301.25,608.09,3620900.00,,,,,
40954.00,305.32,305.32,300.15,603.90,4869900.00,,,,,
40955.00,300.28,303.27,297.75,604.86,5080700.00,,,,,
40956.00,301.36,302.68,300.08,602.98,4916400.00,,,,,
40960.00,300.81,307.79,300.31,612.32,4980100.00,,,,,
